fips,age,race,sex,ethnicity,counts
1,0,w,Male,hl,8
1,1,w,Male,hl,6
1,2,w,Male,hl,7
1,3,w,Male,hl,6
1,4,w,Male,hl,9
1,5,w,Male,hl,21
1,6,w,Male,hl,4
1,7,w,Male,hl,5
1,8,w,Male,hl,2
1,9,w,Male,hl,4
1,10,w,Male,hl,4
1,11,w,Male,hl,2
1,12,w,Male,hl,11
1,13,w,Male,hl,4
1,14,w,Male,hl,2
1,15,w,Male,hl,15
1,16,w,Male,hl,1
1,17,w,Male,hl,4
1,18,w,Male,hl,21
1,19,w,Male,hl,17
1,20,w,Male,hl,2
1,21,w,Male,hl,8
1,22,w,Male,hl,2
1,23,w,Male,hl,17
1,24,w,Male,hl,3
1,25,w,Male,hl,12
1,26,w,Male,hl,7
1,27,w,Male,hl,10
1,28,w,Male,hl,3
1,29,w,Male,hl,3
1,30,w,Male,hl,0
1,31,w,Male,hl,4
1,32,w,Male,hl,5
1,33,w,Male,hl,12
1,34,w,Male,hl,2
1,35,w,Male,hl,4
1,36,w,Male,hl,2
1,37,w,Male,hl,21
1,38,w,Male,hl,14
1,39,w,Male,hl,14
1,40,w,Male,hl,20
1,41,w,Male,hl,19
1,42,w,Male,hl,10
1,43,w,Male,hl,10
1,44,w,Male,hl,7
1,45,w,Male,hl,8
1,46,w,Male,hl,2
1,47,w,Male,hl,9
1,48,w,Male,hl,22
1,49,w,Male,hl,14
1,50,w,Male,hl,8
1,51,w,Male,hl,4
1,52,w,Male,hl,1
1,53,w,Male,hl,11
1,54,w,Male,hl,20
1,55,w,Male,hl,10
1,56,w,Male,hl,10
1,57,w,Male,hl,7
1,58,w,Male,hl,2
1,59,w,Male,hl,10
1,60,w,Male,hl,2
1,61,w,Male,hl,3
1,62,w,Male,hl,14
1,63,w,Male,hl,2
1,64,w,Male,hl,6
1,65,w,Male,hl,12
1,66,w,Male,hl,12
1,67,w,Male,hl,4
1,68,w,Male,hl,1
1,69,w,Male,hl,17
1,70,w,Male,hl,5
1,71,w,Male,hl,5
1,72,w,Male,hl,15
1,73,w,Male,hl,18
1,74,w,Male,hl,33
1,75,w,Male,hl,2
1,76,w,Male,hl,3
1,77,w,Male,hl,1
1,78,w,Male,hl,14
1,79,w,Male,hl,5
1,80,w,Male,hl,7
1,81,w,Male,hl,1
1,82,w,Male,hl,5
1,83,w,Male,hl,5
1,84,w,Male,hl,9
1,85,w,Male,hl,3
1,86,w,Male,hl,13
1,87,w,Male,hl,4
1,88,w,Male,hl,13
1,89,w,Male,hl,3
1,90,w,Male,hl,4
1,91,w,Male,hl,11
1,92,w,Male,hl,13
1,93,w,Male,hl,1
1,94,w,Male,hl,6
1,95,w,Male,hl,0
1,96,w,Male,hl,3
1,97,w,Male,hl,12
1,98,w,Male,hl,16
1,99,w,Male,hl,5
1,100,w,Male,hl,0
1,105,w,Male,hl,17
1,110,w,Male,hl,19
1,0,w,Female,hl,4
1,1,w,Female,hl,7
1,2,w,Female,hl,7
1,3,w,Female,hl,7
1,4,w,Female,hl,7
1,5,w,Female,hl,1
1,6,w,Female,hl,1
1,7,w,Female,hl,24
1,8,w,Female,hl,1
1,9,w,Female,hl,18
1,10,w,Female,hl,6
1,11,w,Female,hl,26
1,12,w,Female,hl,22
1,13,w,Female,hl,1
1,14,w,Female,hl,2
1,15,w,Female,hl,0
1,16,w,Female,hl,5
1,17,w,Female,hl,12
1,18,w,Female,hl,15
1,19,w,Female,hl,21
1,20,w,Female,hl,6
1,21,w,Female,hl,13
1,22,w,Female,hl,1
1,23,w,Female,hl,0
1,24,w,Female,hl,3
1,25,w,Female,hl,11
1,26,w,Female,hl,14
1,27,w,Female,hl,11
1,28,w,Female,hl,1
1,29,w,Female,hl,9
1,30,w,Female,hl,20
1,31,w,Female,hl,4
1,32,w,Female,hl,3
1,33,w,Female,hl,12
1,34,w,Female,hl,1
1,35,w,Female,hl,2
1,36,w,Female,hl,4
1,37,w,Female,hl,5
1,38,w,Female,hl,0
1,39,w,Female,hl,15
1,40,w,Female,hl,12
1,41,w,Female,hl,6
1,42,w,Female,hl,12
1,43,w,Female,hl,1
1,44,w,Female,hl,12
1,45,w,Female,hl,7
1,46,w,Female,hl,12
1,47,w,Female,hl,0
1,48,w,Female,hl,11
1,49,w,Female,hl,1
1,50,w,Female,hl,1
1,51,w,Female,hl,3
1,52,w,Female,hl,12
1,53,w,Female,hl,4
