fips,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10
1,0,1,6,6,7,9,1,13,9,15,20,6,20,12,25,21,21,33,1,30,30,13,10,36,8,48,53,2,9,47,3,55,20,57,43,58,38,23,15,31,44,1,28,40,6,23,31,26,25,26,21,31,14,18,31,13,22,47,23,36,50,28,40,56,63,11,83,25,59,12,10,62,53,56,8,35,41,52,71,51,6,6,4,13,63,74,11,55,40,34,47,60,48,45,20,40,46,2,2,7,23
2,0,3,1,4,7,9,13,11,10,4,10,10,14,10,14,20,22,11,15,37,17,12,22,5,40,39,22,6,15,28,19,26,34,6,41,38,35,11,12,17,7,53,20,5,23,21,24,14,8,24,28,26,38,24,23,37,25,52,34,21,15,62,58,47,5,75,40,78,62,70,7,10,39,71,11,74,44,72,69,65,52,3,74,36,36,53,61,20,43,33,54,64,28,25,24,25,34,32,37,35,15
3,0,2,2,4,7,4,10,8,14,2,12,13,14,6,8,15,24,23,33,28,31,7,15,12,28,4,26,10,52,5,37,13,60,3,36,32,63,63,44,57,9,49,26,40,34,19,36,30,24,4,8,20,9,5,46,28,23,54,36,62,10,25,15,11,28,40,75,41,29,86,64,75,34,83,72,54,76,52,19,45,63,12,27,8,57,17,26,35,41,49,64,32,36,25,59,53,14,11,29,42,20
4,1,1,3,2,3,8,4,3,2,3,2,20,13,24,27,8,21,11,33,1,5,5,3,38,2,44,25,5,37,31,22,55,53,47,27,16,28,52,19,51,22,14,32,23,19,23,30,10,21,15,2,11,12,21,37,10,40,22,6,11,22,69,27,66,46,20,57,47,21,44,25,79,10,71,69,8,9,61,60,57,68,34,63,2,30,56,39,29,48,21,50,39,48,47,35,46,26,15,32,35,32
5,1,1,1,6,0,6,5,0,11,18,14,16,18,15,27,8,8,10,20,29,16,17,23,39,21,7,46,26,38,13,44,34,34,26,13,4,59,60,33,14,37,9,4,12,6,24,35,16,11,11,15,23,14,14,41,44,43,10,43,53,27,12,48,78,6,14,89,48,6,47,64,92,57,18,16,8,51,81,63,12,17,35,12,20,28,3,63,46,61,24,62,59,29,50,17,37,35,34,3,8,30
6,1,2,2,6,1,3,1,11,8,9,18,21,18,9,10,7,8,22,10,6,32,36,8,15,10,49,15,32,50,7,43,3,44,33,6,61,54,47,57,25,52,6,18,31,34,39,22,9,1,28,12,9,18,11,15,34,49,54,12,43,23,23,28,69,62,42,31,91,20,8,7,42,68,32,43,74,54,82,17,54,0,50,4,15,2,65,11,35,56,61,42,22,5,28,18,34,56,10,22,48,42
7,0,0,3,2,5,10,3,8,2,12,5,19,19,7,17,28,7,34,1,27,31,7,41,29,47,42,49,51,13,7,29,37,21,13,38,58,49,50,41,57,48,28,22,27,21,24,9,5,12,7,13,2,28,15,12,9,6,17,9,17,10,57,14,46,24,81,20,19,69,13,21,60,58,71,9,52,45,29,55,26,80,56,63,39,50,50,72,65,25,6,20,10,48,51,42,25,31,20,34,31,19
8,1,1,2,0,7,6,4,14,6,10,10,10,11,18,26,25,18,9,19,8,12,39,26,4,5,29,2,9,52,9,37,21,50,10,41,8,17,25,15,19,11,41,45,13,39,1,14,6,27,11,12,5,14,18,2,37,49,8,39,54,3,16,63,20,54,7,17,51,75,38,21,40,43,79,22,51,53,76,20,50,43,37,72,9,48,20,38,53,39,67,56,54,41,39,27,50,22,11,15,25,9
9,0,0,1,3,4,3,3,13,9,2,20,3,17,10,3,6,8,25,36,16,12,26,20,12,14,47,18,31,32,6,11,51,34,24,35,18,23,2,38,57,19,41,12,9,37,21,27,32,15,26,5,26,6,17,19,45,26,23,21,3,19,67,44,46,33,33,22,73,61,61,78,91,42,23,64,26,57,44,12,10,45,36,47,17,56,33,62,32,11,44,7,13,44,10,60,15,46,43,27,31,16
10,1,4,4,6,4,9,11,6,6,8,1,12,21,22,14,16,1,13,23,15,4,24,34,40,22,43,41,8,31,35,4,7,18,3,66,44,21,36,49,23,41,37,19,10,10,24,2,20,22,4,32,23,29,11,8,20,22,22,4,62,61,11,74,20,16,6,40,83,87,78,38,48,24,28,28,37,10,55,34,46,39,51,73,32,13,19,20,7,8,5,51,30,13,26,59,8,47,48,16,34,21
